insula,insulae,insulae,insulam,insula,insulae,insularum,insulis,insulas,insulis,f,a
mercator,mercatoris,mercatori,mercatorem,mercatore,mercatores,mercatorum,mercatoribus,mercatores,mercatoribus,m,Kons.
dominus,domini,domino,dominum,domino,domini,dominorum,dominis,dominos,dominis,m,o
servus,servi,servo,servum,servo,servi,servorum,servis,servos,servis,m,o
domina,dominae,dominae,dominam,domina,dominae,dominarum,dominis,dominas,dominis,f,a
medicus,medici,medico,medicum,medico,medici,medicorum,medicis,medicos,medicis,m,o
ancilla,ancillae,ancillae,ancillam,ancilla,ancillae,ancillarum,ancillis,ancillas,ancillis,f,a
agricola,agricolae,agricolae,agricolam,agricola,agricolae,agricolarum,agricolis,agricolas,agricolis,m,a
murus,muri,muro,murum,muro,muri,murorum,muris,muros,muris,m,o
labor,laboris,labori,laborem,labore,labores,laborum,laboribus,labores,laboribus,m,Kons.
equus,equi,equo,equum,equo,equi,equorum,equis,equos,equis,m,o
aula,aulae,aulae,aulam,aula,aulae,aularum,aulis,aulas,aulis,f,a